ACCELEROMETER,287166461232,3,[-0.91338795,3.2010477,9.537302],43.259077536441595,-79.92062953244508
ACCELEROMETER,287166485311,3,[-1.0265139,3.426701,9.522937],43.259077532853624,-79.92062968755779
ACCELEROMETER,287166505330,3,[-0.89603,3.5051112,9.269152],43.25907752987062,-79.9206298165167
ACCELEROMETER,287166520223,3,[-0.7314286,3.3740287,9.472659],43.25907752765144,-79.92062991245479
ACCELEROMETER,287166543813,3,[-0.6368576,3.1842883,9.71986],43.25907752413634,-79.92063006441745
ACCELEROMETER,287166560445,3,[-0.6422446,3.1992521,9.721058],43.25907752165803,-79.92063017155789
ACCELEROMETER,287166580282,3,[-0.6392518,3.2423477,9.74859],43.25907751870215,-79.92063029934437
ACCELEROMETER,287166600393,3,[-0.6344634,3.4099417,9.630077],43.25907751570545,-79.92063042889592
ACCELEROMETER,287166620351,3,[-0.712275,3.277662,9.206305],43.25907751273154,-79.92063055746186
ACCELEROMETER,287166641683,3,[-0.5746084,3.0023289,9.419388],43.259077509552895,-79.92063069487888
ACCELEROMETER,287166660390,3,[-0.6302736,3.0238767,9.932345],43.259077506765394,-79.9206308153861
ACCELEROMETER,287166680410,3,[-0.56682724,3.0609868,10.720038],43.259077503782244,-79.92063094435144
ACCELEROMETER,287166700399,3,[-0.62009823,3.2812533,10.445304],43.25907750080372,-79.9206310731171
ACCELEROMETER,287166720388,3,[-0.38067806,2.932897,9.7863],43.259077497825196,-79.92063120188273
ACCELEROMETER,287166743886,3,[-0.10055647,2.285864,9.541492],43.2590774943238,-79.92063135325274
ACCELEROMETER,287166761190,3,[-0.25079262,2.0667946,9.858724],43.25907749174535,-79.92063146472208
ACCELEROMETER,287166780629,3,[-0.30825347,1.9494787,10.408792],43.25907748884878,-79.92063158994472
ACCELEROMETER,287166800496,3,[-0.045489833,2.0248961,10.679935],43.25907748588843,-79.92063171792446
ACCELEROMETER,287166820455,3,[0.5315128,1.7136499,10.437522],43.25907748291438,-79.92063184649685
ACCELEROMETER,287166840810,3,[0.8607155,1.2916719,10.4010105],43.25907747988131,-79.9206319776202
ACCELEROMETER,287166860555,3,[0.9415198,1.0169371,10.563816],43.25907747693914,-79.92063210481405
ACCELEROMETER,287166880575,3,[0.86251116,0.96067345,10.67814],43.259077473956,-79.92063223377939
ACCELEROMETER,287166900747,3,[0.9403227,0.8631097,10.416573],43.2590774709502,-79.92063236372388
ACCELEROMETER,287166922353,3,[0.9127894,1.3652935,10.375872],43.25907746773073,-79.92063250290596
ACCELEROMETER,287166940877,3,[0.8559271,1.0594343,10.092158],43.259077464970495,-79.92063262223432
ACCELEROMETER,287166960683,3,[0.9959879,1.0618285,10.47164],43.259077462019235,-79.92063274982111
ACCELEROMETER,287166980703,3,[0.83856916,1.2892777,10.650007],43.25907745903609,-79.92063287878646
ACCELEROMETER,287167000692,3,[0.97862995,1.0301052,10.466252],43.25907745605756,-79.9206330075521
ACCELEROMETER,287167022237,3,[1.0755951,1.2455834,10.449493],43.25907745284718,-79.92063314634122
ACCELEROMETER,287167040883,3,[0.5554548,1.0067618,10.055049],43.25907745006877,-79.9206332664555
ACCELEROMETER,287167061391,3,[0.047285482,1.3976152,9.69532],43.259077447012906,-79.92063339856445
ACCELEROMETER,287167081136,3,[0.47165772,2.517503,10.497377],43.25907744407074,-79.92063352575829
ACCELEROMETER,287167101186,3,[-0.19692309,2.830545,9.354745],43.25907744108312,-79.92063365491688
ACCELEROMETER,287167122121,3,[-0.8194155,2.509722,9.778519],43.25907743796363,-79.92063378977649
ACCELEROMETER,287167142385,3,[-1.1073183,1.8800468,10.952275],43.259077434944125,-79.92063392031363
ACCELEROMETER,287167161641,3,[-0.9564836,1.8788497,11.684901],43.259077432074825,-79.92063404435743
ACCELEROMETER,287167181081,3,[-0.5398925,2.291251,10.939108],43.2590774291781,-79.9206341695865
ACCELEROMETER,287167200887,3,[-0.077811554,2.806603,9.524733],43.25907742622684,-79.9206342971733
ACCELEROMETER,287167226735,3,[-0.50757074,2.755726,9.284714],43.25907742237528,-79.9206344636816
ACCELEROMETER,287167241597,3,[-1.2234371,2.160767,10.754155],43.259077420160715,-79.92063455942
ACCELEROMETER,287167280538,3,[-1.4502877,1.0570401,10.635044],43.25907741435818,-79.92063481027111
ACCELEROMETER,287167292165,3,[-1.073201,1.3617022,8.890868],43.25907741262566,-79.92063488517022
ACCELEROMETER,287167307943,3,[0.06703765,3.265691,8.261791],43.25907741027461,-79.92063498680933
ACCELEROMETER,287167325429,3,[0.350152,3.9995139,8.734647],43.25907740766905,-79.92063509945109
ACCELEROMETER,287167340993,3,[-0.41240123,3.063381,8.6574335],43.259077405349885,-79.92063519971165
ACCELEROMETER,287167361013,3,[-0.48482585,2.3529017,9.356541],43.259077402366735,-79.920635328677
ACCELEROMETER,287167380971,3,[0.1328782,2.9891608,9.583391],43.25907739939283,-79.92063545724294
ACCELEROMETER,287167401204,3,[0.17178397,3.0933087,9.672575],43.25907739637794,-79.92063558758039
ACCELEROMETER,287167423330,3,[0.107140526,3.2004492,9.0237465],43.259077393080986,-79.92063573011221
ACCELEROMETER,287167441243,3,[0.6194997,3.6649241,9.033323],43.2590773904118,-79.92063584550463
ACCELEROMETER,287167461477,3,[1.021127,3.8283286,8.739435],43.259077387396765,-79.92063597584853
ACCELEROMETER,287167481283,3,[-0.16519992,2.6641479,9.097966],43.259077384445504,-79.92063610343531
ACCELEROMETER,287167501424,3,[-0.54408234,2.232593,9.7324295],43.25907738144433,-79.92063623318012
